O,3,5,4,3,2,8,7,7,4,9,6,8,2,8,3,8
B,3,5,5,4,4,9,6,3,6,11,4,7,4,7,5,9
K,8,12,7,6,4,9,8,3,7,9,4,6,6,9,4,8
D,6,10,8,8,5,10,5,4,8,11,3,7,4,6,4,9
O,3,7,5,5,3,8,6,7,4,7,5,8,3,8,3,7
I,2,5,3,4,1,7,7,0,8,13,6,8,0,8,1,8
Y,3,2,5,4,2,6,10,1,8,8,11,8,1,11,2,8
I,3,7,4,5,2,8,6,2,7,7,6,7,0,9,4,7
D,5,8,5,6,4,6,7,9,8,7,7,6,2,8,3,8
H,5,8,7,6,6,8,6,7,7,7,7,7,3,8,3,8
O,6,9,6,7,4,6,8,8,5,10,8,7,4,8,4,9
D,6,12,6,6,4,6,8,5,7,9,6,6,5,9,7,5
O,3,6,3,4,3,7,8,7,4,9,7,10,3,8,2,9
I,1,4,2,3,1,7,8,0,7,13,6,8,0,8,1,7
H,3,7,5,5,6,7,6,5,4,6,6,8,6,8,8,10
G,5,11,6,8,8,8,7,5,2,6,6,10,7,8,6,12
O,9,15,7,8,4,8,6,5,6,8,3,8,6,9,5,8
O,4,3,5,4,2,7,7,8,8,7,6,8,3,8,4,8
L,1,0,1,1,0,2,1,5,5,0,2,5,0,8,0,8
G,3,4,4,3,2,6,7,5,5,9,7,10,2,9,4,9
O,4,8,5,6,4,7,7,8,4,7,6,10,3,8,3,8
K,3,6,4,4,1,3,6,7,3,7,7,11,3,8,2,10
D,6,9,9,8,8,6,7,5,7,7,4,7,4,6,6,5
Y,4,4,6,6,1,7,10,3,2,7,13,8,2,11,0,8
G,2,2,3,3,2,7,6,6,5,6,6,10,2,9,4,9
I,4,6,6,7,5,9,8,5,6,7,6,8,3,9,8,8
H,8,10,8,5,5,5,9,3,4,10,7,9,5,7,3,6
D,5,5,5,8,3,5,7,11,9,7,6,5,3,8,4,8
H,2,6,4,4,5,9,6,3,3,6,6,7,5,9,6,7
K,2,1,3,2,2,5,7,4,7,7,6,11,3,8,4,9
G,3,9,4,6,4,7,6,7,6,6,5,8,1,7,6,11
Y,5,6,5,4,3,5,9,1,7,9,10,6,1,11,3,5
I,3,9,4,6,3,6,8,0,7,13,7,8,0,8,1,7
L,4,5,5,5,4,8,7,4,5,7,6,8,3,8,8,11
C,5,7,5,5,3,6,7,6,8,12,8,12,2,10,4,7
Y,6,7,6,5,3,2,11,4,5,12,12,7,2,11,2,6
Y,1,1,2,1,0,7,10,2,2,7,12,8,1,11,0,8
I,8,14,5,8,3,10,4,4,7,11,2,7,3,7,5,11
I,6,10,8,8,5,9,5,2,6,6,7,6,0,10,4,7
L,2,3,2,2,1,4,3,5,7,2,2,5,0,7,1,6
I,1,9,2,6,3,8,7,0,7,7,6,7,0,8,2,7
O,5,8,6,6,4,8,6,8,5,10,5,8,3,8,3,8
K,8,15,8,8,5,3,8,4,6,10,11,11,5,11,4,7
I,1,4,0,6,0,7,7,4,4,7,6,8,0,8,0,8
I,1,3,2,1,0,7,7,1,6,13,6,8,0,8,0,8
