;Date;dif_cons_real;cons_total;dif_cons_smooth;V2;V4;V12;V26;V5_0;V5_1;V5_2;Hour_1;Hour_2;Hour_3;Season_1;Season_2;Season_3;Season_4;tmed;hrmed;radmed;vvmed;dvmed;prec;dewpt;dpv
0;2021-01-05 07:00:00+00:00;7.12;152.14;3.63;21.126829268292685;2.0;19.24;0.1;0.0;1.0;0.0;1.0;0.0;0.0;1.0;0.0;0.0;0.0;0.1;74.0;9.0;0.3;187.0;0.0;-4.0;0.2
1;2021-01-05 08:00:00+00:00;5.92;158.06;4.55;20.98243902439024;2.0;19.24;0.1;0.0;1.0;0.0;1.0;0.0;0.0;1.0;0.0;0.0;0.0;2.8;65.9;86.4;0.2;212.6;0.0;-3.0;0.3
2;2021-01-05 09:00:00+00:00;6.69;164.75;5.4;21.07658536585366;2.0;19.24;0.1;0.0;1.0;0.0;1.0;0.0;0.0;1.0;0.0;0.0;0.0;6.2;53.2;201.7;0.3;241.8;0.0;-2.8;0.4
3;2021-01-05 11:00:00+00:00;3.14;169.14;3.5;21.24170731707317;2.0;19.11;0.1;0.0;1.0;0.0;1.0;0.0;0.0;1.0;0.0;0.0;0.0;10.3;35.2;503.8;0.7;239.8;0.0;-4.4;0.8
4;2021-01-07 09:00:00+00:00;6.08;237.89;4.17;20.665365853658532;2.0;19.31;0.1;0.0;1.0;0.0;1.0;0.0;0.0;1.0;0.0;0.0;0.0;4.8;88.2;40.6;0.4;207.7;0.1;3.0;0.1
5;2021-01-07 10:00:00+00:00;12.08;249.97;7.33;20.818292682926828;3.0;19.47;0.2;0.0;1.0;0.0;1.0;0.0;0.0;1.0;0.0;0.0;0.0;4.9;88.2;45.9;0.5;211.7;0.1;3.1;0.1
6;2021-01-07 11:00:00+00:00;7.72;257.69;7.49;20.88878048780488;3.0;19.47;0.2;0.0;1.0;0.0;1.0;0.0;0.0;1.0;0.0;0.0;0.0;5.1;88.4;42.3;0.4;211.8;0.1;3.3;0.1
7;2021-01-07 12:00:00+00:00;7.97;265.66;7.68;20.819268292682928;4.0;19.47;0.2;0.0;1.0;0.0;1.0;0.0;0.0;1.0;0.0;0.0;0.0;5.3;88.6;52.7;0.6;212.8;0.2;3.6;0.1
8;2021-01-07 13:00:00+00:00;5.25;270.91;6.71;21.04317073170732;3.0;19.47;0.1;0.0;1.0;0.0;1.0;0.0;0.0;1.0;0.0;0.0;0.0;5.6;88.9;43.8;0.2;288.0;0.1;3.9;0.1
9;2021-01-08 10:00:00+00:00;4.09;336.62;3.64;20.13536585365853;3.0;19.47;0.1;0.0;1.0;0.0;1.0;0.0;0.0;1.0;0.0;0.0;0.0;5.0;89.8;38.6;0.4;222.1;0.1;3.5;0.1
10;2021-01-08 11:00:00+00:00;5.16;341.78;4.25;20.07756097560976;2.0;19.47;0.1;0.0;1.0;0.0;1.0;0.0;0.0;1.0;0.0;0.0;0.0;5.4;89.6;54.4;0.4;211.6;0.1;3.8;0.1
11;2021-01-11 08:00:00+00:00;7.94;440.78;3.95;19.600975609756095;3.0;19.53;0.1;0.0;1.0;0.0;1.0;0.0;0.0;1.0;0.0;0.0;0.0;6.4;79.1;55.2;0.1;215.1;0.0;3.1;0.2
12;2021-01-11 09:00:00+00:00;10.5;451.28;6.57;19.695121951219512;3.0;19.55;0.2;0.0;1.0;0.0;1.0;0.0;0.0;1.0;0.0;0.0;0.0;7.6;73.0;116.2;0.3;215.8;0.0;3.0;0.3
13;2021-01-11 10:00:00+00:00;8.55;459.83;7.36;19.93756097560976;4.0;19.52;0.2;0.0;1.0;0.0;1.0;0.0;0.0;1.0;0.0;0.0;0.0;8.8;63.4;223.6;0.5;230.4;0.0;2.3;0.4
14;2021-01-11 11:00:00+00:00;7.45;467.28;7.4;20.14951219512195;5.0;19.69;0.3;0.0;1.0;0.0;1.0;0.0;0.0;1.0;0.0;0.0;0.0;9.5;60.3;304.8;0.7;258.8;0.0;2.2;0.5
15;2021-01-11 12:00:00+00:00;8.66;475.94;7.9;20.38487804878049;5.0;19.88;0.3;0.0;1.0;0.0;1.0;0.0;0.0;1.0;0.0;0.0;0.0;10.8;56.0;417.0;0.8;249.6;0.0;2.3;0.5
16;2021-01-11 13:00:00+00:00;4.19;480.12;6.42;20.64560975609756;4.0;19.87;0.1;0.0;1.0;0.0;1.0;0.0;0.0;1.0;0.0;0.0;0.0;11.7;50.6;421.3;0.7;247.3;0.0;1.8;0.7
17;2021-01-11 14:00:00+00:00;3.62;483.75;5.3;20.769756097560972;3.0;19.86;0.1;0.0;1.0;0.0;0.0;1.0;0.0;1.0;0.0;0.0;0.0;12.0;49.2;313.8;0.7;215.6;0.0;1.7;0.7
18;2021-01-11 15:00:00+00:00;3.41;487.16;4.54;20.790975609756096;3.0;19.86;0.1;0.0;1.0;0.0;0.0;1.0;0.0;1.0;0.0;0.0;0.0;11.9;48.8;130.3;0.3;214.5;0.0;1.5;0.7
19;2021-01-11 16:00:00+00:00;3.69;490.84;4.2;20.70658536585366;3.0;19.86;0.1;0.0;1.0;0.0;0.0;1.0;0.0;1.0;0.0;0.0;0.0;11.3;54.8;27.4;0.1;133.4;0.0;2.5;0.6
20;2021-01-11 17:00:00+00:00;3.91;494.75;4.08;20.631219512195123;2.0;19.86;0.1;0.0;1.0;0.0;0.0;1.0;0.0;1.0;0.0;0.0;0.0;9.9;64.5;0.9;0.2;122.8;0.0;3.5;0.4
21;2021-01-11 18:00:00+00:00;3.97;498.72;4.04;20.311463414634147;2.0;19.86;0.1;0.0;1.0;0.0;0.0;1.0;0.0;1.0;0.0;0.0;0.0;7.9;71.5;0.0;0.4;186.5;0.0;3.1;0.3
22;2021-01-11 19:00:00+00:00;3.75;502.47;3.92;20.00878048780488;2.0;19.86;0.1;0.0;1.0;0.0;0.0;1.0;0.0;1.0;0.0;0.0;0.0;6.6;74.3;0.0;0.6;199.2;0.0;2.4;0.2
23;2021-01-11 20:00:00+00:00;3.86;506.33;3.9;19.59341463414634;2.0;19.86;0.1;0.0;1.0;0.0;0.0;1.0;0.0;1.0;0.0;0.0;0.0;6.3;69.9;0.0;0.6;194.6;0.0;1.2;0.3
24;2021-01-11 21:00:00+00:00;4.05;510.38;3.96;19.82121951219512;2.0;19.86;0.1;0.0;1.0;0.0;0.0;1.0;0.0;1.0;0.0;0.0;0.0;5.6;69.7;0.0;0.4;198.0;0.0;0.4;0.3
25;2021-01-11 22:00:00+00:00;4.22;514.59;4.06;19.88317073170732;2.0;19.86;0.1;0.0;1.0;0.0;0.0;0.0;1.0;1.0;0.0;0.0;0.0;4.9;70.2;0.0;0.5;194.2;0.0;-0.1;0.3
26;2021-01-11 23:00:00+00:00;4.2;518.8;4.12;19.76707317073171;2.0;19.86;0.1;0.0;1.0;0.0;0.0;0.0;1.0;1.0;0.0;0.0;0.0;3.6;73.9;0.0;0.4;197.6;0.0;-0.6;0.2
27;2021-01-12 00:00:00+00:00;4.23;523.03;4.16;19.675365853658537;2.0;19.86;0.1;0.0;1.0;0.0;0.0;0.0;1.0;1.0;0.0;0.0;0.0;3.2;72.6;0.0;0.5;196.5;0.0;-1.3;0.2
28;2021-01-12 01:00:00+00:00;4.47;527.5;4.29;19.58756097560976;2.0;19.86;0.1;0.0;1.0;0.0;0.0;0.0;1.0;1.0;0.0;0.0;0.0;3.2;69.2;0.0;0.5;197.0;0.0;-1.9;0.2
29;2021-01-12 02:00:00+00:00;6.52;534.02;5.18;19.453658536585365;2.0;19.86;0.1;0.0;1.0;0.0;0.0;0.0;1.0;1.0;0.0;0.0;0.0;3.6;65.8;0.0;0.5;201.5;0.0;-2.3;0.3
30;2021-01-12 03:00:00+00:00;5.17;539.19;5.18;19.362926829268293;2.0;19.86;0.1;0.0;1.0;0.0;0.0;0.0;1.0;1.0;0.0;0.0;0.0;3.4;65.8;0.0;0.8;197.1;0.0;-2.4;0.3
