;Date;dif_cons_real;cons_total;dif_cons_smooth;V2;V4;V12;V26;V5_0;V5_1;V5_2;Hour_1;Hour_2;Hour_3;Season_1;Season_2;Season_3;Season_4;tmed;hrmed;radmed;vvmed;dvmed;prec;dewpt;dpv
0;2021-01-01 01:00:00+00:00;4.15;11.7;4.01;20.468823529411765;3.0;23.91;0.1;0;1;0;0;0;1;1;0;0;0;2.8;67.3;0.0;0.4;160.1;0.0;-2.7;0.2
1;2021-01-01 02:00:00+00:00;4.12;15.83;4.06;20.43705882352941;3.0;23.91;0.1;0;1;0;0;0;1;1;0;0;0;3.2;67.0;0.0;0.3;196.4;0.0;-2.4;0.3
2;2021-01-01 03:00:00+00:00;4.1;19.93;4.08;20.397058823529413;3.0;23.91;0.1;0;1;0;0;0;1;1;0;0;0;3.5;67.8;0.0;0.2;190.8;0.0;-1.9;0.3
3;2021-01-01 04:00:00+00:00;4.08;24.01;4.08;20.27235294117647;3.0;23.91;0.1;0;1;0;0;0;1;1;0;0;0;4.5;64.6;0.0;0.4;204.2;0.0;-1.6;0.3
4;2021-01-01 05:00:00+00:00;4.1;28.11;4.09;19.92;3.0;23.91;0.1;0;1;0;0;0;1;1;0;0;0;5.2;60.6;0.0;0.7;182.8;0.0;-1.7;0.4
5;2021-01-01 06:00:00+00:00;4.18;32.29;4.12;19.78058823529412;3.0;23.91;0.1;0;1;0;1;0;0;1;0;0;0;6.8;67.6;0.0;1.1;201.6;0.0;1.2;0.3
6;2021-01-01 07:00:00+00:00;4.21;36.5;4.16;20.221176470588237;3.0;23.91;0.1;0;1;0;1;0;0;1;0;0;0;6.3;77.4;4.4;0.5;191.2;0.0;2.6;0.2
7;2021-01-01 08:00:00+00:00;4.14;40.64;4.15;20.313529411764705;3.0;23.91;0.1;0;1;0;1;0;0;1;0;0;0;6.6;73.8;84.7;0.6;186.0;0.0;2.2;0.3
8;2021-01-01 09:00:00+00:00;3.92;44.56;4.06;20.261764705882356;3.0;23.91;0.1;0;1;0;1;0;0;1;0;0;0;8.7;62.4;229.9;0.8;242.2;0.0;1.9;0.4
9;2021-01-01 10:00:00+00:00;4.0;48.56;4.04;19.646470588235296;3.0;23.91;0.1;0;1;0;1;0;0;1;0;0;0;11.6;45.4;422.3;1.8;284.2;0.0;0.2;0.8
