;Date;dif_cons_real;cons_total;dif_cons_smooth;V2;V4;V12;V26;V5_0;V5_1;V5_2;Hour_1;Hour_2;Hour_3;Season_1;Season_2;Season_3;Season_4;tmed;hrmed;radmed;vvmed;dvmed;prec;dewpt;dpv
0;2021-01-01 01:00:00+00:00;0.69;1.93;0.66;22.58333333333333;0.0;25.14;0.0;1;0;0;0;0;1;1;0;0;0;2.8;67.3;0.0;0.4;160.1;0.0;-2.7;0.2
1;2021-01-01 02:00:00+00:00;0.67;2.6;0.67;22.526666666666667;0.0;25.14;0.0;1;0;0;0;0;1;1;0;0;0;3.2;67.0;0.0;0.3;196.4;0.0;-2.4;0.3
2;2021-01-01 03:00:00+00:00;0.68;3.28;0.67;22.491666666666664;0.0;25.14;0.0;1;0;0;0;0;1;1;0;0;0;3.5;67.8;0.0;0.2;190.8;0.0;-1.9;0.3
3;2021-01-01 04:00:00+00:00;0.68;3.96;0.68;22.361666666666668;0.0;25.14;0.0;1;0;0;0;0;1;1;0;0;0;4.5;64.6;0.0;0.4;204.2;0.0;-1.6;0.3
4;2021-01-01 05:00:00+00:00;0.67;4.63;0.67;22.28;0.0;25.14;0.0;1;0;0;0;0;1;1;0;0;0;5.2;60.6;0.0;0.7;182.8;0.0;-1.7;0.4
5;2021-01-01 06:00:00+00:00;0.67;5.3;0.67;22.295;0.0;25.14;0.0;1;0;0;1;0;0;1;0;0;0;6.8;67.6;0.0;1.1;201.6;0.0;1.2;0.3
6;2021-01-01 07:00:00+00:00;0.67;5.98;0.67;22.37;0.0;25.14;0.0;1;0;0;1;0;0;1;0;0;0;6.3;77.4;4.4;0.5;191.2;0.0;2.6;0.2
7;2021-01-01 08:00:00+00:00;0.67;6.65;0.67;22.43166666666667;0.0;25.14;0.0;1;0;0;1;0;0;1;0;0;0;6.6;73.8;84.7;0.6;186.0;0.0;2.2;0.3
8;2021-01-01 09:00:00+00:00;0.68;7.33;0.68;22.28;0.0;25.14;0.0;1;0;0;1;0;0;1;0;0;0;8.7;62.4;229.9;0.8;242.2;0.0;1.9;0.4
9;2021-01-01 10:00:00+00:00;0.68;8.01;0.68;22.15;0.0;25.14;0.0;1;0;0;1;0;0;1;0;0;0;11.6;45.4;422.3;1.8;284.2;0.0;0.2;0.8
10;2021-01-01 11:00:00+00:00;0.67;8.68;0.67;22.22833333333333;0.0;25.14;0.0;1;0;0;1;0;0;1;0;0;0;12.5;39.4;312.4;2.0;299.8;0.0;-0.9;0.9
11;2021-01-01 12:00:00+00:00;0.69;9.37;0.68;22.188333333333333;0.0;25.14;0.0;1;0;0;1;0;0;1;0;0;0;12.8;35.8;299.2;2.0;308.7;0.0;-2.0;0.9
12;2021-01-01 13:00:00+00:00;0.69;10.05;0.68;22.22833333333333;0.0;25.14;0.0;1;0;0;1;0;0;1;0;0;0;13.7;31.2;378.5;1.9;318.2;0.0;-3.1;1.1
13;2021-01-01 14:00:00+00:00;0.67;10.73;0.68;22.256666666666664;0.0;25.14;0.0;1;0;0;0;1;0;1;0;0;0;13.8;29.9;355.3;2.2;309.2;0.0;-3.5;1.1
14;2021-01-01 15:00:00+00:00;0.69;11.41;0.68;22.346666666666664;0.0;25.14;0.0;1;0;0;0;1;0;1;0;0;0;13.2;31.8;226.1;2.1;294.9;0.0;-3.2;1.0
15;2021-01-01 16:00:00+00:00;0.67;12.09;0.68;22.523333333333337;0.0;25.14;0.0;1;0;0;0;1;0;1;0;0;0;11.8;33.8;37.9;1.8;287.6;0.0;-3.6;0.9
